ER34101,ER34901,income_2010,income_2020,above_median_2021,wealth_no_equity,wealth_with_equity,age_head,hh_size,num_children,education,education_years,employment_status,family_structure,race_ethnicity,geography,housing_tenure,monthly_housing_cost,annual_housing_cost,housing_cost_burden,cost_burdened
3821,1644,16400.0,36300.0,0.0,52800,52800,24,2,1,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,,,,Not Reported
5337,1360,7000.0,45800.0,0.0,48200,48200,22,3,1,HS Diploma,12.0,Other,Married/Partnered,White (Non-Hispanic),South,Renter,500.0,6000.0,0.8571428571428571,Cost Burdened (≥30%)
8821,6468,15854.0,12600.0,0.0,170,170,33,1,0,HS Diploma,12.0,Temp Laid Off,Married/Partnered,White (Non-Hispanic),Midwest,Renter,350.0,4200.0,0.2649173710104705,Not Burdened (<30%)
7171,4201,9228.0,10500.0,0.0,2000,2000,32,2,0,HS Diploma,12.0,Unemployed,Married/Partnered,White (Non-Hispanic),Midwest,Renter,475.0,5700.0,0.6176853055916776,Cost Burdened (≥30%)
8583,6671,22858.0,10566.0,0.0,-8800,1200,43,2,0,Less than HS,11.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Owner,435.0,5220.0,0.2283664362586403,Not Burdened (<30%)
1838,2029,15888.0,7200.0,0.0,1100,59100,69,2,0,Less than HS,10.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Midwest,Owner,340.0,4080.0,0.256797583081571,Not Burdened (<30%)
995,2118,25168.0,23200.0,0.0,135000,365000,64,2,0,Graduate Degree,16.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),South,Owner,,,,Not Reported
4227,6958,29000.0,100000.0,1.0,10150,10150,28,1,0,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),West,Renter,433.0,5196.0,0.17917241379310345,Not Burdened (<30%)
2697,4236,8010.0,57560.0,0.0,8050,8050,38,1,0,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),West,Renter,400.0,4800.0,0.599250936329588,Cost Burdened (≥30%)
4844,8663,15175.0,126371.0,1.0,-71500,-71500,25,1,0,Graduate Degree,17.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Renter,490.0,5880.0,0.3874794069192751,Cost Burdened (≥30%)
587,5905,16700.0,91200.0,1.0,101000,101000,32,3,2,Some College / AA,14.0,Working,Single/Unpartnered,White (Non-Hispanic),Midwest,Renter,200.0,2400.0,0.1437125748502994,Not Burdened (<30%)
7089,4927,31462.0,4320.0,0.0,7400,7400,22,2,0,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,275.0,3300.0,0.10488843684444726,Not Burdened (<30%)
7921,4243,36000.0,406000.0,1.0,4975,48975,40,2,1,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),Northeast,Owner,699.0,8388.0,0.233,Not Burdened (<30%)
6932,6731,9329.0,54667.0,0.0,600,600,21,3,1,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Renter,663.0,7956.0,0.8528245256726337,Cost Burdened (≥30%)
8070,2714,28000.0,21000.0,0.0,10700,10700,21,2,0,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Renter,350.0,4200.0,0.15,Not Burdened (<30%)
5320,1748,7200.0,25000.0,0.0,-6200,-6200,25,1,0,Less than HS,11.0,Working,Married/Partnered,White (Non-Hispanic),South,Neither,,,,Not Reported
4289,1327,23200.0,61250.0,0.0,-12095,-12095,23,1,0,Some College / AA,13.0,Unemployed,Married/Partnered,White (Non-Hispanic),South,Renter,435.0,5220.0,0.225,Not Burdened (<30%)
6872,9130,15208.0,26132.0,0.0,7000,7000,55,2,0,HS Diploma,12.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),West,Renter,500.0,6000.0,0.3945291951604419,Cost Burdened (≥30%)
3058,148,20645.0,43000.0,0.0,42200,68005,36,1,0,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),South,Owner,238.0,2856.0,0.13833858077016226,Not Burdened (<30%)
57,229,26308.0,61670.0,0.0,16900,16900,25,1,0,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,500.0,6000.0,0.22806750798236278,Not Burdened (<30%)
6930,6269,29000.0,153602.0,1.0,190000,190000,26,3,1,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),West,Renter,1688.0,20256.0,0.6984827586206896,Cost Burdened (≥30%)
8528,4176,18700.0,61000.0,0.0,50000,50000,26,5,2,Some College / AA,13.0,Working,Married/Partnered,White (Non-Hispanic),West,Renter,700.0,8400.0,0.44919786096256686,Cost Burdened (≥30%)
662,3415,36628.0,23530.0,0.0,70200,155200,48,3,1,Some College / AA,13.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Owner,337.0,4044.0,0.11040733864802883,Not Burdened (<30%)
7645,8228,6300.0,47150.0,0.0,-8000,-8000,29,1,0,Some College / AA,14.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Renter,250.0,3000.0,0.47619047619047616,Cost Burdened (≥30%)
2676,1303,18777.0,38145.0,0.0,20800,195800,77,1,0,HS Diploma,12.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Midwest,Owner,,,,Not Reported
2713,6166,36489.0,25800.0,0.0,-5000,-5000,52,1,0,HS Diploma,12.0,Not in Labor Force,Single/Unpartnered,White (Non-Hispanic),Northeast,Renter,571.0,6852.0,0.1877826194195511,Not Burdened (<30%)
4193,3238,30000.0,82000.0,1.0,8000,8000,26,2,0,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,850.0,10200.0,0.34,Cost Burdened (≥30%)
6242,5365,19000.0,101150.0,1.0,10500,10500,22,1,0,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,600.0,7200.0,0.37894736842105264,Cost Burdened (≥30%)
2366,1343,34936.0,46100.0,0.0,94000,184000,68,2,0,HS Diploma,12.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Midwest,Owner,,,,Not Reported
6390,5200,20160.0,132240.0,1.0,3600,83600,26,3,2,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),Midwest,Owner,500.0,6000.0,0.2976190476190476,Not Burdened (<30%)
6598,3732,37000.0,30000.0,0.0,9000,9000,24,3,1,Less than HS,8.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,500.0,6000.0,0.16216216216216217,Not Burdened (<30%)
8009,3861,22720.0,124510.0,1.0,759400,759400,34,6,4,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),,Neither,,,,Not Reported
5847,1971,17868.0,33476.0,0.0,-3700,-3700,67,2,0,Less than HS,7.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),South,Renter,500.0,6000.0,0.33579583613163194,Cost Burdened (≥30%)
3085,4848,12048.0,17948.0,0.0,1004,1004,41,2,0,HS Diploma,12.0,Other,Married/Partnered,White (Non-Hispanic),South,Renter,250.0,3000.0,0.24900398406374502,Not Burdened (<30%)
1925,5568,36520.0,30400.0,0.0,1187000,1437000,73,2,0,Graduate Degree,16.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Midwest,Owner,,,,Not Reported
2125,8898,22800.0,284455.0,1.0,25600,25600,21,1,0,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,265.0,3180.0,0.1394736842105263,Not Burdened (<30%)
6177,536,20904.0,1200.0,0.0,23000,23000,72,1,0,Less than HS,11.0,Not in Labor Force,Single/Unpartnered,White (Non-Hispanic),South,Renter,450.0,5400.0,0.25832376578645233,Not Burdened (<30%)
6928,611,18000.0,17000.0,0.0,2000,48000,52,1,0,Some College / AA,14.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Owner,775.0,9300.0,0.5166666666666667,Cost Burdened (≥30%)
2414,4131,19500.0,93150.0,1.0,-7500,-7500,41,1,0,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),West,Renter,300.0,3600.0,0.18461538461538463,Not Burdened (<30%)
3994,7906,24000.0,21000.0,0.0,60200,60200,50,1,0,Graduate Degree,17.0,Unemployed,Single/Unpartnered,White (Non-Hispanic),West,Neither,,,,Not Reported
56,2750,28026.0,11172.0,0.0,6000,6000,33,1,0,HS Diploma,12.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Northeast,Renter,420.0,5040.0,0.1798330122029544,Not Burdened (<30%)
2249,3273,27088.0,75000.0,1.0,-1200,40800,28,4,2,HS Diploma,12.0,Other,Married/Partnered,White (Non-Hispanic),Northeast,Owner,420.0,5040.0,0.18606024808033078,Not Burdened (<30%)
7903,8068,16978.0,72184.0,1.0,-10000,-10000,34,1,0,HS Diploma,12.0,Unemployed,Single/Unpartnered,White (Non-Hispanic),Northeast,Renter,75.0,900.0,0.05300977735893509,Not Burdened (<30%)
204,3965,16386.0,74663.0,1.0,2525,2525,39,4,2,HS Diploma,12.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Northeast,Renter,271.0,3252.0,0.19846210179421458,Not Burdened (<30%)
8676,6683,22688.0,40000.0,0.0,-11200,-11200,23,5,3,Some College / AA,13.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Renter,790.0,9480.0,0.4178420310296192,Cost Burdened (≥30%)
2627,9003,3579.0,0.0,0.0,0,0,48,1,0,Graduate Degree,17.0,Unemployed,Married/Partnered,White (Non-Hispanic),Northeast,Neither,,,,Not Reported
1340,2931,33400.0,54400.0,0.0,10500,25000,23,1,0,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Owner,591.0,7092.0,0.21233532934131735,Not Burdened (<30%)
2523,1940,31656.0,23798.0,0.0,25400,45400,49,3,0,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),West,Owner,1244.0,14928.0,0.4715693707354056,Cost Burdened (≥30%)
8377,9174,21950.0,9775.0,0.0,10000,10000,28,1,0,Bachelor's Degree,15.0,Unemployed,Married/Partnered,White (Non-Hispanic),South,Neither,,,,Not Reported
1427,8956,29500.0,49696.0,0.0,28000,28000,34,1,0,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Renter,560.0,6720.0,0.22779661016949151,Not Burdened (<30%)
